id,feature_key,display_name,category,feature_type,description,rollout_status,created_at,updated_at,archived_at,is_toggleable,is_removable,lock_reason,is_system_feature
05442b36-dc0b-47bd-b41a-0ed45de1bd52,event_change_history,Event Change History,Scheduling & Calendar,module,Database table: event_change_history,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
0592da14-14ef-4802-aba2-3855bab3b0f7,organization,Organization,Support Tools,module,Service Module: organizationService.ts,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
07e59a46-b598-4cc3-8bf5-0a09152844a9,leveldetail,Level Details,Support Tools,module,,live,2026-01-28 19:00:07.487591+00,2026-01-28 19:00:07.487591+00,,true,true,,false
094bd2e0-78ea-496a-ae9f-e49e2a267548,recurring_event_patterns,Recurring Event Patterns,Scheduling & Calendar,module,Database table: recurring_event_patterns,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
0a66c273-8bc9-4630-a098-366eb39b4712,bysport,Programs by Sport,Support Tools,module,,live,2026-01-28 19:00:07.487591+00,2026-01-28 19:00:07.487591+00,,true,true,,false
0b1c727c-b2f8-4fae-a531-69b326f7cd82,forms,Forms,Support Tools,module,,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
0b96385e-db9b-48a0-94ff-ca677398570a,payments,Payments,Payments,module,Service Module: paymentsService.ts,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
0cab6d8e-7844-4bc1-97cb-a99f672d44eb,paymentcancel,Payment Cancelled,Payments,module,,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
0d9202a6-adea-41e8-8db1-79bb48d19600,uniformkitdetail,Uniform Kit Order,Uniforms & Gear,module,,live,2026-01-28 19:00:07.487591+00,2026-01-28 19:00:07.487591+00,,true,true,,false
0eda524d-4d5a-42f9-b0ad-e480a48b4332,eventdetail,Event Details,Scheduling & Calendar,module,,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
0ee15bcc-99f1-4a70-8355-c238841da601,uniform_orders,Uniform Orders,Uniforms & Gear,module,Database table: uniform_orders,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
10fbe2fd-d410-404e-8fa9-1f3e9a6c2da7,tiers,License Tiers,Support Tools,module,,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
